product_id,name,category,price
1,Product_1,Electronics,85.26
2,Product_2,Home,25.22
3,Product_3,Books,72.37
4,Product_4,Home,18.77
5,Product_5,Books,51.82
6,Product_6,Books,11.26
7,Product_7,Home,68.28
8,Product_8,Books,55.63
9,Product_9,Clothing,59.3
10,Product_10,Books,22.31
11,Product_11,Books,10.37
12,Product_12,Electronics,70.19
13,Product_13,Clothing,73.62
14,Product_14,Books,25.01
15,Product_15,Electronics,35.13
16,Product_16,Books,22.92
17,Product_17,Home,12.68
18,Product_18,Home,84.38
19,Product_19,Electronics,49.37
20,Product_20,Home,53.17
