order_id,customer_id,product_id,order_date,amount,status
1,52,27,2024-12-14,1.0,cancelled
2,62,5,2025-03-19,4.0,completed
3,58,20,2025-01-17,2.0,pending
4,52,11,2025-02-12,2.0,cancelled
5,12,10,2025-01-08,2.0,pending
6,39,40,2024-11-21,2.0,cancelled
7,2,38,2025-05-13,1.0,completed
8,3,6,2025-02-11,3.0,completed
9,56,8,2024-11-14,1.0,cancelled
10,81,23,2024-12-05,4.0,completed
11,59,47,2025-03-15,1.0,completed
12,2,26,2025-08-08,1.0,completed
13,2,46,2025-02-05,4.0,pending
14,92,43,2025-03-16,2.0,completed
15,54,12,2025-03-22,2.0,completed
16,87,26,2024-11-26,,completed
17,96,13,2024-10-11,,completed
18,97,40,2025-04-18,,completed
19,1,18,2025-05-13,,completed
20,19,25,2024-11-19,1.0,completed
21,2,33,2024-11-12,3.0,unknown
22,53,47,2024-10-15,2.0,unknown
23,44,40,2025-01-25,3.0,unknown
24,90,43,2025-09-08,4.0,pending
25,32,12,2024-10-10,4.0,completed
26,999,44,2025-05-10,1.0,completed
27,999,36,2024-12-26,1.0,completed
28,999,48,2025-04-12,4.0,pending
29,55,4,2024-09-29,2.0,completed
30,75,5,2024-09-23,2.0,completed
31,56,999,2025-09-11,3.0,completed
32,17,999,2025-06-22,4.0,completed
33,38,999,2025-03-25,4.0,completed
34,24,49,2024-11-30,2.0,completed
35,69,28,2025-03-07,2.0,cancelled
36,98,31,2024-11-09,4.0,completed
37,70,9,2025-05-20,1.0,completed
38,86,29,2025-02-10,4.0,completed
39,11,14,2025-05-25,4.0,cancelled
40,16,40,2025-04-24,2.0,completed
41,97,41,2025-08-21,2.0,pending
42,73,22,2025-05-03,1.0,completed
43,59,11,2024-11-17,1.0,completed
44,70,23,2025-01-27,3.0,completed
45,80,1,2025-07-02,4.0,completed
46,93,46,2024-10-23,2.0,completed
47,3,37,2024-10-06,1.0,completed
48,20,21,2024-11-18,3.0,pending
49,59,26,2024-12-01,3.0,completed
50,36,46,2025-09-15,2.0,completed
51,19,36,2025-04-22,2.0,completed
52,90,23,2024-12-03,3.0,completed
53,67,1,2025-04-27,1.0,completed
54,19,40,2025-07-25,3.0,completed
55,20,15,2024-11-16,4.0,completed
56,96,21,2025-07-09,4.0,completed
57,71,47,2024-09-20,2.0,completed
58,52,9,2025-06-18,1.0,completed
59,33,9,2025-02-08,1.0,completed
60,40,10,2025-03-08,4.0,completed
61,39,26,2025-07-15,3.0,pending
62,82,41,2025-07-05,2.0,completed
63,1,35,2025-04-08,3.0,completed
64,11,25,2025-03-31,3.0,completed
65,92,26,2025-06-19,3.0,cancelled
66,57,11,2025-03-24,1.0,cancelled
67,89,38,2024-12-21,4.0,completed
68,50,2,2025-07-05,1.0,pending
69,23,7,2025-01-14,4.0,completed
70,31,18,2025-07-01,2.0,completed
71,94,27,2025-04-10,2.0,cancelled
72,42,34,2024-10-27,3.0,pending
73,99,27,2025-06-10,4.0,completed
74,7,17,2025-06-06,4.0,completed
75,16,43,2025-05-07,4.0,completed
76,90,44,2025-06-06,3.0,completed
77,60,24,2025-08-28,3.0,cancelled
78,2,25,2025-06-26,2.0,completed
79,1,7,2024-12-11,1.0,completed
80,48,6,2024-10-12,4.0,completed
81,12,24,2024-09-16,4.0,completed
82,69,33,2024-10-20,1.0,completed
83,37,49,2025-05-10,4.0,completed
84,32,29,2024-10-07,3.0,pending
85,9,43,2024-11-10,3.0,pending
86,99,22,2025-06-19,4.0,completed
87,19,26,2025-02-15,3.0,pending
88,48,28,2025-04-26,3.0,cancelled
89,80,50,2025-07-13,4.0,cancelled
90,3,21,2025-07-02,2.0,completed
91,20,49,2025-03-01,1.0,completed
92,24,7,2025-04-26,3.0,completed
93,54,17,2024-11-04,2.0,completed
94,33,20,2025-06-15,3.0,completed
95,24,41,2024-11-15,3.0,completed
96,75,49,2025-02-04,1.0,completed
97,72,20,2024-11-29,3.0,cancelled
98,36,22,2025-06-06,1.0,completed
99,38,28,2024-12-23,1.0,completed
100,84,40,2024-09-26,1.0,pending
101,99,49,2025-05-29,2.0,pending
102,89,7,2024-10-21,4.0,cancelled
103,99,1,2024-12-25,2.0,pending
104,25,32,2025-09-13,4.0,completed
105,93,13,2025-06-23,4.0,pending
106,18,30,2024-12-08,1.0,completed
107,82,23,2024-10-23,3.0,completed
108,66,19,2024-11-16,1.0,completed
109,54,32,2025-05-22,3.0,completed
110,35,30,2025-02-07,4.0,completed
111,80,29,2025-04-15,1.0,completed
112,61,49,2025-04-16,3.0,cancelled
113,41,45,2025-09-04,2.0,completed
114,100,29,2025-05-06,3.0,completed
115,33,30,2024-11-16,1.0,pending
116,68,16,2024-11-27,2.0,completed
117,33,40,2024-11-20,3.0,completed
118,14,19,2025-01-31,3.0,completed
119,21,18,2024-12-19,3.0,completed
120,48,1,2025-08-04,3.0,completed
121,20,14,2024-10-08,3.0,pending
122,8,47,2024-10-25,2.0,completed
123,7,50,2024-11-18,4.0,completed
124,67,2,2024-09-17,2.0,pending
125,17,28,2025-08-26,2.0,cancelled
126,33,49,2025-06-01,2.0,completed
127,48,50,2024-10-15,4.0,completed
128,76,30,2024-11-17,1.0,completed
129,59,38,2025-05-22,4.0,completed
130,86,4,2025-05-15,2.0,completed
131,22,1,2024-12-09,3.0,completed
132,30,8,2024-11-28,3.0,pending
133,38,29,2025-02-25,2.0,completed
134,51,39,2025-07-27,3.0,completed
135,54,3,2024-12-19,2.0,completed
136,8,32,2024-10-27,3.0,completed
137,27,10,2024-12-13,4.0,completed
138,27,10,2025-04-28,1.0,completed
139,98,19,2024-12-15,1.0,pending
140,21,46,2024-11-30,4.0,completed
141,30,34,2024-10-17,4.0,completed
142,97,33,2025-07-26,2.0,completed
143,28,23,2025-08-20,2.0,completed
144,64,28,2025-04-12,2.0,completed
145,97,32,2025-01-20,3.0,completed
146,69,50,2025-04-13,2.0,completed
147,61,7,2024-11-29,4.0,completed
148,48,29,2025-05-03,1.0,pending
149,19,8,2025-04-25,3.0,pending
150,4,1,2025-06-02,2.0,cancelled
151,35,3,2025-04-11,3.0,pending
152,64,24,2025-04-23,3.0,completed
153,49,23,2025-09-14,2.0,pending
154,17,8,2025-07-01,3.0,completed
155,44,47,2025-05-07,1.0,pending
156,92,37,2025-06-18,4.0,pending
157,30,3,2024-10-06,4.0,cancelled
158,93,33,2024-10-01,1.0,pending
159,46,28,2024-12-27,3.0,completed
